mapname,planURL
Academy Gardens,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Airport,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LSW_ALL_06142016_reduced.pdf
Allegheny West,http://www.awest.org/pdf/AWF-Neighborhood-Strategic-Plan.pdf
Andorra,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
Aston-Woodbridge,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Bartram Village,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/USW_full%20plan.pdf
Bella Vista,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
Belmont,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/MakeYorkMarkLowerLancaster2012.pdf
Brewerytown,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/BrewerytownNeighborhoodPlan2010.pdf
Bridesburg,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/RW%20District%20Plan_Final.pdf
Burholme,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/CNE_DP_MAR%2017.pdf
Bustleton,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Byberry,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Callowhill,http://www.phila.gov/CityPlanning/plans/PDF/Callowhill_Chinatown_North_Plan.pdf
Carroll Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Phila2035_WEST_BOOK.pdf
Cedar Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/USW_full%20plan.pdf
Cedarbrook,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/2015_UNO_DistrictPlanBook.pdf
Center City East,https://www.phila.gov/CityPlanning/plans/Area%20Plans/mkteastexecsum.pdf
Chestnut Hill,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
Chinatown,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/Chinatown%20Neighborhood%20Plan%202017.pdf
Clearview,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LSW_ALL_06142016_reduced.pdf
Cobbs Creek,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Phila2035_WEST_BOOK.pdf
Crestmont Farms,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Dearnley Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
Dickinson Narrows,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Dunlap,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Phila2035_WEST_BOOK.pdf
East Falls,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
East Germantown,https://www.phila.gov/CityPlanning/plans/Blight%20and%20Redevelopment%20Reports/egtwnrap.pdf
East Kensington,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/EastKensingtonFinalPlan.pdf
East Mount Airy,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/Mt.%20Airy%202025%20Final%20Plan.pdf
East Oak Lane,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/2015_UNO_DistrictPlanBook.pdf
