"","name","BLAS","pts"
"818","act academy cyber cs",36.45,0
"4283","aspira bilingual cyber charter school",37.46,0
"11438","boys latin of philadelphia cs",55.43,0
"19988","charter hs for architecture and design",36.69,0
"23318","community academy of philadelphia cs",61.8,0
"28628","delaware valley chs",34.49,0
"32948","eastern university academy charter school",47.45,0
"35648","esperanza academy charter school",62.49,0
"35693","esperanza cyber cs",35.51,0
"36953","first philadelphia preparatory charter school",52.56,0
"38798","franklin towne chs",95.42,2
"38978","frederick douglass mastery charter school",50.38,0
"39338","freire cs",68.59,0
"47618","hope for hyndman charter school",59.4,0
"48158","imhotep institute chs",40.05,0
"51983","kipp philadelphia charter school",49.03,0
"52028","kipp west philadelphia preparatory charter school",55.59,0
"58058","mariana bracetti academy cs",62.47,0
"58238","maritime academy cs",58.28,0
"58778","mast community cs ii",60.26,0
"58958","mastery cs - hardy williams",49.49,0
"59093","mastery cs-gratz campus",53.76,0
"59228","mastery cs-pickett campus",57,0
"59273","mastery cs - shoemaker campus",60.43,0
"59363","mastery cs -thomas campus",57.39,0
"59408","math civics and sciences cs",54.95,0
"65888","multicultural academy cs",78.26,1
"67193","new foundations cs",67.16,0
"74078","olney charter hs",37.76,0
"80513","philadelphia academy cs",72.48,1
"80558","academy at palumbo",81.2,2
"80603","adaire alexander school",67.17,0
"80648","allen dr ethel school",47.02,0
"80693","allen ethan school",50.6,0
"80738","amy at martin",44.99,0
"80783","amy nw",66.01,0
"80828","anderson add b school",45.34,0
"80873","arthur chester a school",65.16,0
"80918","arts academy at benjamin rush",71.51,1
"80963","bache-martin school",54.72,0
"81008","baldi c c a ms",67.59,0
"81053","barry comm john school",50.68,0
"81098","barton clara school",45.73,0
"81143","bartram john - main",33.68,0
"81188","beeber dimner ms",47.98,0
"81233","bethune mary mcleod school",39.01,0
"81278","blaine james g school",51.29,0
"81323","blankenburg rudolph school",45.7,0
"81368","bodine william w hs",72.38,1
"81413","bregy f amedee school",52.63,0
"81458","bridesburg school",62.1,0
"81503","brown henry a school",61.26,0
"81548","brown, joseph school",59.35,0
"81593","bryant william c school",49.98,0
"81638","building 21",39.91,0
"81683","carnell laura h school",44.64,0
"81728","catharine joseph school",50.76,0
"81773","cayuga school",51.41,0
"81818","central hs",95.18,2
"81863","childs george w school",55.27,0
"81908","clemente roberto ms",31.71,0
"81953","comegys benjamin b school",37.44,0
"81998","comly watson school",62.88,0
"82043","conwell russell ms",61.17,0
"82088","cooke jay ms",37.45,0
"82133","cook-wissahickon school",55.95,0
"82178","cramp william school",51.16,0
"82223","creative and performing arts",67.18,0
"82268","crossan kennedy c school",50.66,0
"82313","day anna b school",40.79,0
"82358","deburgos bilingual magnet ms",52.53,0
"82403","decatur stephen school",65.17,0
"82448","dick william school",39.8,0
"82493","disston hamilton school",48.46,0
"82538","dobbins area vocational-technical hs",48.31,0
"82583","dobson james school",53.03,0
"82628","duckrey tanner school",52.3,0
"82673","dunbar paul l school",57.9,0
"82718","edison hs/fareira skills",51.57,0
"82763","elkin lewis school",42.42,0
"82808","ellwood school",49.88,0
"82853","emlen eleanor c school",52.32,0
"82898","farrell louis h school",59.54,0
"82943","fell d newlin school",72.58,1
"82988","fels samuel hs",39.98,0
"83033","feltonville intermediate school",48.96,0
"83078","feltonville school of arts & sciences",50.09,0
"83123","finletter thomas k school",58.62,0
"83168","fitler academics plus",55.27,0
"83213","fitzpatrick aloysius l school",62.31,0
"83258","forrest edwin school",46.26,0
"83303","fox chase school",65,0
"83348","frank anne school",76.33,1
"83393","frankford hs",33.3,0
"83438","franklin benjamin hs",32.71,0
"83483","franklin benjamin school",53.19,0
"83528","franklin lc",58.65,0
"83573","franklin s edmonds school",42.77,0
"83618","furness horace hs",42.05,0
"83663","gamp",80.39,2
"83708","gideon edward school",41.32,0
"83753","girard stephen school",54.76,0
"83798","girls hs",78.09,1
"83843","greenberg joseph school",79.98,1
"83888","greenfield albert m school",71.71,1
"83933","hackett horatio b school",56.33,0
"83978","hamilton andrew school",41.16,0
"84023","harding warren g ms",43.64,0
"84068","harrington avery d school",38.56,0
"84113","hartranft john f school",59.12,0
"84158","henry charles w school",66.37,0
"84203","heston edward school",45.03,0
"84248","hill freedman world academy",62.39,0
"84293","holme thomas school",61.23,0
"84338","hopkinson francis school",48.13,0
"84383","houston henry e school",45.3,0
"84428","howe julia ward school",46.54,0
"84473","hs of engineering & science",69.65,0
"84518","hunter william h school",42.45,0
"84563","jackson andrew school",62.22,0
"84608","jenks abram school",74.3,1
