gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,name,BLAS,pts
6489,academy at palumbo,public,12-Sep,857,8,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"1100 Catharine St, Philadelphia, PA  19147",(215) 351-7618,,http://webgui.phila.k12.pa.us/schools/p/palumbo,4.21899E+11,39.9401,-75.161,https://www.greatschools.org/pennsylvania/philadelphia/6489-Academy-At-Palumbo/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6489&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6489&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6489,academy at palumbo,81.2,2
14890,act academy cyber cs,charter,12-Sep,110,1,NA,Philadelphia,PA,970,Act Academy Cyber Cs,4200868,"2111 Eastburn Ave, Philadelphia, PA  19138",(267) 297-6231,,,4.20087E+11,40.0561,-75.1559,https://www.greatschools.org/pennsylvania/philadelphia/14890-ACT-Academy-Cyber-CS/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=14890&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=14890&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/14890,act academy cyber cs,36.45,0
11388,arise academy charter hs,charter,12-Sep,106,NA,NA,Philadelphia,PA,837,Arise Academy Charter High School,4200823,"1118 Market St, Philadelphia, PA  19107",(215) 224-9400,,,4.20082E+11,39.9498,-75.1432,https://www.greatschools.org/pennsylvania/philadelphia/11388-Arise-Academy-Charter-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=11388&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=11388&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/11388,,,
11365,arts academy at benjamin rush,public,12-Sep,601,6,5,Philadelphia,PA,397,Philadelphia City School District,4218990,"11081 Knights Rd, Philadelphia, PA  19154",(215) 281-2603,,,4.21899E+11,40.081142,-74.97637,https://www.greatschools.org/pennsylvania/philadelphia/11365-Arts-Academy-At-Benjamin-Rush/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=11365&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=11365&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/11365,arts academy at benjamin rush,71.51,1
11541,aspira bilingual cyber charter school,charter,K-12,139,2,NA,Philadelphia,PA,920,Aspira Bilingual Cyber Charter School,4200835,"4322 North 5th St, Philadelphia, PA  19140",(215) 455-1300,,,4.20084E+11,40.0171,-75.1348,https://www.greatschools.org/pennsylvania/philadelphia/11541-Aspira-Bilingual-Cyber-Charter-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=11541&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=11541&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/11541,aspira bilingual cyber charter school,37.46,0
2097,bartram john - main,public,12-Sep,888,1,3,Philadelphia,PA,397,Philadelphia City School District,4218990,"2401 South 67th St, Philadelphia, PA  19142",(215) 492-6450,,,4.21899E+11,39.9215,-75.2341,https://www.greatschools.org/pennsylvania/philadelphia/2097-Bartram-John---Main/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2097&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2097&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2097,bartram john - main,33.68,0
2174,bodine william w hs,public,12-Sep,494,7,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"1101 North 4th St, Philadelphia, PA  19123",(215) 351-7332,(215) 351-7370,http://www.bodine.phila.k12.pa.us/,4.21899E+11,39.9681,-75.1432,https://www.greatschools.org/pennsylvania/philadelphia/2174-Bodine-William-W-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2174&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2174&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2174,bodine william w hs,72.38,1
11410,boys latin of philadelphia cs,charter,12-Jun,747,3,3,Philadelphia,PA,832,Boys Latin Of Philadelphia Cs,4200760,"5501 Cedar Ave, Philadelphia, PA  19143",(215) 387-5149,,,4.20076E+11,39.9518,-75.2334,https://www.greatschools.org/pennsylvania/philadelphia/11410-Boys-Latin-Of-Philadelphia-Cs/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=11410&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=11410&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/11410,boys latin of philadelphia cs,55.43,0
2171,carver hs,public,12-Sep,738,7,5,Philadelphia,PA,397,Philadelphia City School District,4218990,"1600 West Norris St, Philadelphia, PA  19121",(215) 684-5079,,,4.21899E+11,39.9835,-75.1615,https://www.greatschools.org/pennsylvania/philadelphia/2171-Carver-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2171&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2171&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2171,,,
2098,central hs,public,12-Sep,2227,9,5,Philadelphia,PA,397,Philadelphia City School District,4218990,"1700 West Olney Ave, Philadelphia, PA  19141",(215) 276-5262,,http://www.centralhigh.net/,4.21899E+11,40.0375,-75.1501,https://www.greatschools.org/pennsylvania/philadelphia/2098-Central-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2098&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2098&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2098,central hs,95.18,2
5134,charter hs for architecture and design,charter,12-Sep,601,2,4,Philadelphia,PA,657,Charter High School For Architecture And Design,4200053,"105 South 7th St, Philadelphia, PA  19106",(215) 351-2900,,http://www.chadphila.org,4.20005E+11,39.9489,-75.152,https://www.greatschools.org/pennsylvania/philadelphia/5134-Charter-High-School-For-Architecture-And-Design/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5134&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5134&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5134,charter hs for architecture and design,36.69,0
13,community academy of philadelphia cs,charter,K-12,1209,3,3,Philadelphia,PA,12,Community Academy Of Philadelphia Cs,4200013,"1100 East Erie Ave, Philadelphia, PA  19124",(215) 533-6700,,http://www.communityacademy.org,4.20001E+11,40.0045,-75.1067,https://www.greatschools.org/pennsylvania/philadelphia/13-Community-Academy-Of-Philadelphia-CS/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=13&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=13&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/13,community academy of philadelphia cs,61.8,0
6492,constitution hs,public,12-Sep,350,4,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"18 South 7th St, Philadelphia, PA  19106",(215) 351-7310,,http://webgui.phila.k12.pa.us/schools/c/constitution,4.21899E+11,39.9503,-75.1524,https://www.greatschools.org/pennsylvania/philadelphia/6492-Constitution-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6492&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6492&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6492,national constitution center hs,61.67,0
2170,creative and performing arts,public,12-Sep,699,5,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"901 South Broad St, Philadelphia, PA  19147",(215) 952-2462,,,4.21899E+11,39.9394,-75.1655,https://www.greatschools.org/pennsylvania/philadelphia/2170-Creative-And-Performing-Arts/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2170&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2170&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2170,creative and performing arts,67.18,0
5204,delaware valley charter hs,charter,12-Sep,677,2,4,Philadelphia,PA,682,Delaware Valley Chs,4200078,"Logan Place, Philadelphia, PA  19141",(215) 455-2550,,,4.20008E+11,40.0331,-75.1446,https://www.greatschools.org/pennsylvania/philadelphia/5204-Delaware-Valley-Charter-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5204&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5204&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5204,delaware valley chs,34.49,0
2092,dobbins avt hs,public,12-Sep,492,1,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"2150 West Lehigh Ave, Philadelphia, PA  19132",(215) 227-4421,,,4.21899E+11,39.995,-75.1669,https://www.greatschools.org/pennsylvania/philadelphia/2092-Dobbins-Avt-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2092&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2092&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2092,dobbins area vocational-technical hs,48.31,0
11398,eastern university academy charter school,charter,12-Jul,330,2,3,Philadelphia,PA,834,Eastern University Academy Charter School,4200822,"3300 Henry Ave, Philadelphia, PA  19129",(215) 769-3131,,http://www.euacademycs.org/,4.20082E+11,40.0131,-75.1839,https://www.greatschools.org/pennsylvania/philadelphia/11398-Eastern-University-Academy-Charter-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=11398&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=11398&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/11398,eastern university academy charter school,47.45,0
2099,edison hs/fareira skills,public,12-Sep,1345,1,3,Philadelphia,PA,397,Philadelphia City School District,4218990,"151 West Luzerne St, Philadelphia, PA  19140",(215) 324-9440,,,4.21899E+11,40.0122,-75.1293,https://www.greatschools.org/pennsylvania/philadelphia/2099-Edison-Hs-Fareira-Skills/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2099&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2099&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2099,edison hs/fareira skills,51.57,0
5202,esperanza academy charter hs,charter,12-Jun,1383,3,3,Philadelphia,PA,680,Esperanza Academy Charter High School,4200076,"301 West Hunting Park Ave, Philadelphia, PA  19140",(215) 457-3667,,,4.20008E+11,40.0151,-75.1332,https://www.greatschools.org/pennsylvania/philadelphia/5202-Esperanza-Academy-Charter-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5202&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5202&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5202,esperanza academy charter school,62.49,0
14893,esperanza cyber cs,charter,12-Jun,110,3,NA,Philadelphia,PA,969,Esperanza Cyber Cs,4200858,"4261 North 5th St, Philadelphia, PA  19140",(215) 457-3667,,,4.20086E+11,40.0159,-75.135,https://www.greatschools.org/pennsylvania/philadelphia/14893-Esperanza-Cyber-CS/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=14893&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=14893&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/14893,esperanza cyber cs,35.51,0
2070,fels samuel hs,public,12-Sep,1095,1,2,Philadelphia,PA,397,Philadelphia City School District,4218990,"5500 Langdon St, Philadelphia, PA  19111",(215) 537-2516,,,4.21899E+11,40.0322,-75.0943,https://www.greatschools.org/pennsylvania/philadelphia/2070-Fels-Samuel-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2070&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2070&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2070,fels samuel hs,39.98,0
5270,first philadelphia preparatory charter school,charter,K-12,1497,2,4,Philadelphia,PA,698,First Philadelphia Preparatory Charter School,4200093,"4300 Tacony St, Philadelphia, PA  19124",(215) 743-3100,,,4.20009E+11,40.0073,-75.0822,https://www.greatschools.org/pennsylvania/philadelphia/5270-First-Philadelphia-Preparatory-Charter-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=5270&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=5270&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/5270,first philadelphia preparatory charter school,52.56,0
2100,frankford hs,public,12-Sep,1210,1,3,Philadelphia,PA,397,Philadelphia City School District,4218990,"5000 Oxford Ave, Philadelphia, PA  19124",(215) 537-2519,,http://webgui.phila.k12.pa.us/schools/f/frankford,4.21899E+11,40.0216,-75.0854,https://www.greatschools.org/pennsylvania/philadelphia/2100-Frankford-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2100&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2100&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2100,frankford hs,33.3,0
2101,franklin benjamin hs,public,12-Sep,703,1,3,Philadelphia,PA,397,Philadelphia City School District,4218990,"550 North Broad St, Philadelphia, PA  19130",(215) 299-4662,,,4.21899E+11,39.9637,-75.162,https://www.greatschools.org/pennsylvania/philadelphia/2101-Franklin-Benjamin-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=2101&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=2101&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/2101,franklin benjamin hs,32.71,0
6042,franklin lc,public,11 & ungraded,785,4,4,Philadelphia,PA,397,Philadelphia City School District,4218990,"616 North 15th St, Philadelphia, PA  19130",(215) 684-5916,,,4.21899E+11,39.9648,-75.16264,https://www.greatschools.org/pennsylvania/philadelphia/6042-Franklin-LC/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=PA&id=6042&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=PA&id=6042&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/PA/6042,franklin lc,58.65,0
